	File_Name	Total_Kernels	Percent_Transmission	R-Squared	P-Value	Slope
580	X403x487B-3m1	134	1.8955223880597014	0.0	1.000e+00	0.0
581	X401x437-3m1	577	51.74350086655112	0.31927725726111267	5.587e-50	5e-05
582	X402x447-3m3	664	42.26204819277108	1.8701687434626635e-06	9.719e-01	-0.0
583	X403x463A-2m1	646	47.01393188854489	0.34566674650625023	2.594e-61	-6e-05
584	X489-4x402	335	26.256716417910447	0.9018769914658459	6.202e-170	0.0003
585	X492-3x402	608	73.35197368421052	0.5973017116578043	8.528e-122	-6e-05
586	X402x433L-2m2	395	62.89367088607595	0.3487831935112374	1.691e-38	-0.0001
587	X402x447-1m1	687	53.63173216885007	0.6544511801858877	3.274e-160	8e-05
588	X400x568AL-4m1	544	33.091911764705884	0.6544711781777063	3.594e-127	-0.00016
589	X403x492-1m4	657	17.91324200913242	0.0002659156115728725	6.765e-01	-0.0
590	X486-3x402	398	67.10804020100502	0.4318917070118114	1.449e-50	7e-05
591	X3-6x402	498	49.51004016064257	0.3988189836976764	8.822e-57	8e-05
592	X400x539-4m1	627	29.960127591706538	0.34910067698285324	2.845e-60	9e-05
