	Step_Size	Window_Start	Window_End	Total_Kernels	Total_Fluor	Total_NonFluor	P-Value	Comparison	window_mean	Percent_Transmission
371	2	887	1287	85	19	66	3.4350426594690923e-07	< p = 0.05	1087.0	0.2235294117647059
372	2	889	1289	84	19	65	5.193804760844568e-07	< p = 0.05	1089.0	0.2261904761904762
373	2	891	1291	84	19	65	5.193804760844568e-07	< p = 0.05	1091.0	0.2261904761904762
374	2	893	1293	84	19	65	5.193804760844568e-07	< p = 0.05	1093.0	0.2261904761904762
375	2	895	1295	83	18	65	2.483781124467742e-07	< p = 0.05	1095.0	0.21686746987951808
376	2	897	1297	84	18	66	1.6300506876553433e-07	< p = 0.05	1097.0	0.21428571428571427
377	2	899	1299	83	18	65	2.483781124467742e-07	< p = 0.05	1099.0	0.21686746987951808
378	2	901	1301	83	18	65	2.483781124467742e-07	< p = 0.05	1101.0	0.21686746987951808
379	2	903	1303	83	18	65	2.483781124467742e-07	< p = 0.05	1103.0	0.21686746987951808
380	2	905	1305	84	18	66	1.6300506876553433e-07	< p = 0.05	1105.0	0.21428571428571427
381	2	907	1307	84	18	66	1.6300506876553433e-07	< p = 0.05	1107.0	0.21428571428571427
382	2	909	1309	84	18	66	1.6300506876553433e-07	< p = 0.05	1109.0	0.21428571428571427
383	2	911	1311	84	18	66	1.6300506876553433e-07	< p = 0.05	1111.0	0.21428571428571427
384	2	913	1313	83	18	65	2.483781124467742e-07	< p = 0.05	1113.0	0.21686746987951808
385	2	915	1315	84	18	66	1.6300506876553433e-07	< p = 0.05	1115.0	0.21428571428571427
386	2	917	1317	84	18	66	1.6300506876553433e-07	< p = 0.05	1117.0	0.21428571428571427
387	2	919	1319	83	18	65	2.483781124467742e-07	< p = 0.05	1119.0	0.21686746987951808
388	2	921	1321	83	18	65	2.483781124467742e-07	< p = 0.05	1121.0	0.21686746987951808
389	2	923	1323	83	18	65	2.483781124467742e-07	< p = 0.05	1123.0	0.21686746987951808
390	2	925	1325	83	18	65	2.483781124467742e-07	< p = 0.05	1125.0	0.21686746987951808
391	2	927	1327	83	18	65	2.483781124467742e-07	< p = 0.05	1127.0	0.21686746987951808
392	2	929	1329	83	19	64	7.836665326361737e-07	< p = 0.05	1129.0	0.2289156626506024
393	2	931	1331	82	19	63	1.179877919211592e-06	< p = 0.05	1131.0	0.23170731707317074
394	2	933	1333	84	19	65	5.193804760844568e-07	< p = 0.05	1133.0	0.2261904761904762
395	2	935	1335	85	20	65	1.055838803028481e-06	< p = 0.05	1135.0	0.23529411764705882
396	2	937	1337	83	20	63	2.3600332915243354e-06	< p = 0.05	1137.0	0.24096385542168675
397	2	939	1339	83	20	63	2.3600332915243354e-06	< p = 0.05	1139.0	0.24096385542168675
398	2	941	1341	82	20	62	3.5158567791645413e-06	< p = 0.05	1141.0	0.24390243902439024
399	2	943	1343	82	20	62	3.5158567791645413e-06	< p = 0.05	1143.0	0.24390243902439024
400	2	945	1345	81	20	61	5.224730393658932e-06	< p = 0.05	1145.0	0.24691358024691357
401	2	947	1347	80	20	60	7.744216431044088e-06	< p = 0.05	1147.0	0.25
402	2	949	1349	80	20	60	7.744216431044088e-06	< p = 0.05	1149.0	0.25
403	2	951	1351	79	20	59	1.1448046213754177e-05	< p = 0.05	1151.0	0.25316455696202533
404	2	953	1353	80	20	60	7.744216431044088e-06	< p = 0.05	1153.0	0.25
405	2	955	1355	79	20	59	1.1448046213754177e-05	< p = 0.05	1155.0	0.25316455696202533
406	2	957	1357	80	20	60	7.744216431044088e-06	< p = 0.05	1157.0	0.25
407	2	959	1359	80	20	60	7.744216431044088e-06	< p = 0.05	1159.0	0.25
408	2	961	1361	81	20	61	5.224730393658932e-06	< p = 0.05	1161.0	0.24691358024691357
409	2	963	1363	82	20	62	3.5158567791645413e-06	< p = 0.05	1163.0	0.24390243902439024
410	2	965	1365	84	20	64	1.5803810075577803e-06	< p = 0.05	1165.0	0.23809523809523808
411	2	967	1367	84	20	64	1.5803810075577803e-06	< p = 0.05	1167.0	0.23809523809523808
412	2	969	1369	85	20	65	1.055838803028481e-06	< p = 0.05	1169.0	0.23529411764705882
413	2	971	1371	83	20	63	2.3600332915243354e-06	< p = 0.05	1171.0	0.24096385542168675
414	2	973	1373	83	20	63	2.3600332915243354e-06	< p = 0.05	1173.0	0.24096385542168675
415	2	975	1375	83	21	62	6.784656077124217e-06	< p = 0.05	1175.0	0.25301204819277107
416	2	977	1377	83	21	62	6.784656077124217e-06	< p = 0.05	1177.0	0.25301204819277107
417	2	979	1379	83	21	62	6.784656077124217e-06	< p = 0.05	1179.0	0.25301204819277107
418	2	981	1381	83	21	62	6.784656077124217e-06	< p = 0.05	1181.0	0.25301204819277107
419	2	983	1383	83	21	62	6.784656077124217e-06	< p = 0.05	1183.0	0.25301204819277107
420	2	985	1385	82	21	61	9.995948132466275e-06	< p = 0.05	1185.0	0.25609756097560976
421	2	987	1387	82	22	60	2.711935227265403e-05	< p = 0.05	1187.0	0.2682926829268293
422	2	989	1389	83	22	61	1.862175242030997e-05	< p = 0.05	1189.0	0.26506024096385544
423	2	991	1391	82	21	61	9.995948132466275e-06	< p = 0.05	1191.0	0.25609756097560976
424	2	993	1393	82	21	61	9.995948132466275e-06	< p = 0.05	1193.0	0.25609756097560976
