	File_Name	Total_Kernels	Percent_Transmission	R-Squared	P-Value	Slope	slope2	intercept2	r_value2	p_value2	slope3	intercept3	r_value3	p_value3	slope4	intercept4	r_value4	p_value4	slope5	intercept5	r_value5	p_value5
372	X402x487A-1m2	318	72.83962264150944	0.17348909381671604	8.935388097965026e-15	0.03611967219137484	-0.0012403203986396329	0.5422262184219346	0.0005059950797304908	0.6894494038791945	0.08347616157149651	0.4669881607211386	0.7548673785886694	1.7288230065982698e-98	0.12967364637473683	0.441624906840149	0.7390942860156847	8.252149676491139e-137	0.04833368857483317	0.49274698938593553	0.44404686246328956	3.486409147761102e-42
373	X402x488-2m1	591	81.08967851099831	0.30378122069496216	2.899799206478427e-48	0.050369853460914875	-0.08729917557399294	0.5485924550665837	0.6098555410375986	1.7358363296900316e-122	-0.11635035351098262	0.5604407021245355	0.4425971629369466	8.701520739362248e-77	0.09659414484671257	0.4824097047107592	0.2145449819368539	1.3035732237245212e-81	0.08425334008276136	0.4676763914847304	0.38052653097233613	2.9923047227424303e-63
374	X402x488-3m1	726	60.11432506887052	0.629812821003683	2.190288553109765e-158	-0.09487415935363108	-0.005172396545774313	0.5108984140794556	0.0022897503726082417	0.19780130225136286	-0.006234869579325434	0.4906481026946606	0.001692399768917483	0.26828612778237027	0.04089453879613877	0.46632613244950777	0.013766190905884634	2.050883826048068e-21	-0.027923515233704985	0.5552914813540976	0.1747037462130581	4.578914477765322e-32
375	X402x488-3m2	620	81.16612903225807	0.0023612774559157944	0.2269597603663179	-0.0036292135684455103	0.0259167249429405	0.48573072035664244	0.19007358544077418	3.745871562284235e-30	-0.07447056075230739	0.5588396967514933	0.6746850125253031	7.82241312488599e-153	-0.04951688334967219	0.4979569709897786	0.09039126200908609	5.970093967880749e-50	0.0626805043534087	0.46563545785451826	0.5114315224601226	3.381984539772341e-98
376	X402x489-3m1	574	52.42334494773519	0.08792201029119379	4.0984995284362196e-13	-0.047163541900609667	-0.027052641358230996	0.48386181310793824	0.041247426829813506	9.27543992060679e-07	-0.0481264384459006	0.595412781293928	0.0713248132984639	7.873034065068649e-11	0.012574857741763267	0.495426330496635	0.00011476152620548852	0.013101641955104203	0.037996920547732536	0.49026068225243963	0.2192396988715798	1.2882713098927878e-32
377	X402x489-3m2	582	68.27491408934708	0.2374927426184635	4.792968516073122e-36	0.04145746111331648	-0.12771157879025438	0.5913758858781316	0.7437482645056244	1.2515425666308129e-173	-0.0425382020731023	0.5207269383129051	0.2018398116741924	2.9563159096473915e-30	0.04564356178233454	0.46661558332825803	0.06545620974536603	3.948612636324268e-39	0.06990728762592563	0.47784671852090177	0.41480782534666616	1.6851433643927929e-69
378	X402x489-3m3	512	71.322265625	0.5922279778262062	2.077585345076445e-101	-0.12890408062407926	0.08241593119425425	0.4663090404658916	0.5826816512864729	7.652942884811479e-99	-0.03710157277329184	0.5232457539352091	0.18338477215320273	2.999284355624977e-24	0.02286233755295266	0.5446855573409539	0.02239966570072244	1.0026042868184172e-19	-0.015253368065075166	0.5015944835837715	0.01234783524368632	0.01186858299163803
379	X402x489-4m1	654	60.07339449541284	0.0023096400800475883	0.21967828671535702	0.003885176255446751	0.11753131424666208	0.4377587720316651	0.33697508414589045	3.53414781726626e-60	0.026420563788877707	0.46854934535163795	0.027489412420983548	2.0308358974597358e-05	-0.0035184370865904116	0.4689700740086936	1.1711346851273294e-06	0.400965575781297	-0.01575867785761699	0.49248617842424064	0.05868292473305618	3.4533531463582405e-10
380	X402x490-3m1	478	40.01882845188285	0.15527713571433685	3.315401532695934e-19	0.08020424345103729	0.1466254336354438	0.39585415435317745	0.534052780600969	5.787189000958051e-81	0.080598067415901	0.46786129308059166	0.534009835619884	5.915767980068174e-81	-0.12562796259324513	0.5109216820638826	0.4808595795615032	2.7074250869493006e-124	-0.01753543718794882	0.4662874093646935	0.03892568606975864	1.3926939055728583e-05
381	X402x490-5m1 (1)	585	78.14529914529915	0.10885111552773927	2.54171537957341e-16	0.03524422300669754	-0.05000015754246609	0.5078766230574767	0.2624742198478568	1.838103772331495e-40	0.004172931231584582	0.5225891333702521	0.002375230518213706	0.23921428033867248	0.02124858992645397	0.46974008849887905	0.0002563038175981182	0.0021686736296067845	-0.01989122348899261	0.5484466157070599	0.11622516450135438	2.184650409334321e-17
382	X402x490-5m2	715	65.03076923076924	0.4199152738166175	2.2259841690265686e-86	0.08097529318746681	0.03228705018506132	0.48883091485562896	0.15685710738996322	2.871156613341567e-28	0.021811784535448926	0.4984884978115029	0.027937272436193143	7.0166761935398205e-06	0.06409437886603456	0.46280772481024995	0.013645790665959496	5.062987219130974e-21	0.017368173219985274	0.46786872899744414	0.02485515811756428	2.288033088365454e-05
383	X402x490-5m3	537	62.86405959031657	0.4705249906627769	6.745681823124249e-76	-0.07649429782990988	0.03350302231105084	0.5187515602125364	0.13334378415200554	2.2080109244915936e-18	0.06331117680648665	0.4554817476005836	0.31839653666506623	1.7952090464716434e-46	0.018247589299326475	0.4553519266656674	0.0011287304847287555	1.9210395125429673e-05	0.010844259445217101	0.494586142734081	0.0032617694115141985	0.18634677867533803
384	X402x492-1m1	580	46.5948275862069	0.16117996892759015	7.138393966333921e-24	-0.03896924249527921	-0.10139039291660647	0.5691622389898222	0.5077518264487187	5.110323574067388e-91	0.00010791687111740141	0.5795698902472464	1.9676820913357793e-06	0.9731087139370352	0.0032086321728019727	0.4847431057509669	5.025671199461155e-06	0.2549279264966341	0.09151041959212032	0.47229381185794395	0.2631937754054534	2.9763129858613936e-40
385	X402x492-1m2	657	38.38356164383562	0.49544499367707406	2.228566161666013e-99	0.15626779313595432	0.018790081582550622	0.5102006891302494	0.02182328951404267	0.00014457877817733615	0.03490226539487441	0.4476634004135366	0.11350930547168682	6.674432866938517e-19	0.01905359877884131	0.4992173958829305	0.003787745423208191	1.1349096817308508e-10	0.04170325174813102	0.5041995007410356	0.060143126982588	1.8706617170342258e-10
386	X402x492-1m3	591	46.40270727580372	0.4755447426264153	1.353418946490771e-84	0.11288717521678712	-0.01506871832106589	0.509996195237492	0.012624580673412954	0.006249657915304105	-0.08573895684316946	0.5138872600224009	0.3161358266702031	1.4581672046413639e-50	-0.08569562282248751	0.5864447767567397	0.3806889223188339	7.467246848441513e-125	-0.1461306104530964	0.6168776328712124	0.39208979381358955	1.1470619517176226e-65
387	X402x494-1m1	504	46.26984126984127	0.5856377122975844	4.2597645431909555e-98	-0.1516663229877074	0.04034995978603533	0.5031391920019163	0.1845726128566017	4.701860900933227e-24	0.005668310922442533	0.5138138231393559	0.0033125126160290313	0.197066287282677	-0.016569940084992286	0.5141273631472388	0.001783395404632519	3.291337420343169e-06	-0.08307847841798939	0.5618479614926059	0.4673751785178517	1.1151528059426958e-70
388	X402x494-1m2	663	72.96229260935144	0.6681772388685889	1.7313890021431354e-160	0.1100550420163372	0.17330274257298972	0.39516863232275007	0.7651735744208554	3.814758614340046e-210	-0.0901789685936049	0.5496073871724095	0.3104657248574387	2.437455499895248e-55	-0.1027282624801278	0.5226841768757593	0.2642977091066323	1.0954718364589349e-105	-0.004667228602440608	0.4943706471581951	0.0011121982347586244	0.3912621192774268
389	X402x494-2m1	708	61.46186440677966	0.11018800762902914	1.1318283953018722e-19	0.0384426917964121	-0.0465381676514031	0.4999412770114863	0.11531721177040005	1.4383572052949885e-20	0.054701603247649035	0.46835814420722993	0.13049146884452764	3.0148474475786583e-23	0.0947759351079471	0.4364948200747885	0.19672910331046642	6.178874884492146e-92	0.05916534564111349	0.46802109938657616	0.5358811901310072	8.558881101528132e-120
390	X402x495B-1m1-v	547	72.80987202925046	0.20412104116942092	7.184059586249401e-29	0.05608307192897894	-0.1028171403019657	0.5680708115979831	0.6748220490042064	4.694218277763628e-135	0.055717711306615035	0.4740521046380793	0.15254015758433645	2.2387636763549494e-21	-0.04582241470057875	0.5108377321020044	0.0291098799529298	5.951754163651157e-24	0.07123338096979381	0.4522439778664637	0.4649626791821868	4.8259805842794835e-76
391	X402x495B-2m1-v	723	69.91701244813278	0.001087260739286301	0.3759821562617863	-0.0025351253621438215	0.03740895938303928	0.490719771790021	0.18671710160489488	2.9975250308529424e-34	-0.016030120261402707	0.5131297295518712	0.01443398359874304	0.0012096928369532893	0.024701506478633395	0.4843777213164958	0.0010018491406420848	1.4798215954130216e-06	-0.0516622966749058	0.544288403367649	0.42672154429378306	3.5298204468844084e-89
392	X402x495B-5m1-v	727	48.34387895460798	0.5865478263523466	3.477069158438638e-141	0.087308125797693	-0.08479914691217352	0.5358411868881928	0.39172312236606005	2.575924350404952e-80	-0.0005463787007580094	0.4534868465927869	1.657982846714657e-05	0.9127265087101759	-0.08964091285386876	0.5689854584938306	0.036745941641027326	2.1105372438598294e-35	0.06887512010275798	0.4616620860277865	0.1746826424762972	4.1958814281294516e-32
