	File	Step_Size	Window_Start	Window_End	Total_Kernels	Total_Fluor	Total_NonFluor	P-Value	Comparison	window_mean	Normalized_Window_Mean	Percent_Transmission
107	X4-1x402.xml	2	462	862	101	49	52	0.7653130619721424	> p = 0.05	662.0	0.2465437788018433	0.48514851485148514
108	X4-1x402.xml	2	464	864	100	49	51	0.841480581121794	> p = 0.05	664.0	0.2488479262672811	0.49
109	X4-1x402.xml	2	466	866	101	50	51	0.9207383352044227	> p = 0.05	666.0	0.2511520737327189	0.49504950495049505
110	X4-1x402.xml	2	468	868	101	50	51	0.9207383352044227	> p = 0.05	668.0	0.2534562211981567	0.49504950495049505
111	X4-1x402.xml	2	470	870	102	50	52	0.8430219763697248	> p = 0.05	670.0	0.2557603686635945	0.49019607843137253
112	X4-1x402.xml	2	472	872	103	49	54	0.6222495669535155	> p = 0.05	672.0	0.25806451612903225	0.47572815533980584
113	X4-1x402.xml	2	474	874	102	49	53	0.6920614909359382	> p = 0.05	674.0	0.26036866359447003	0.4803921568627451
114	X4-1x402.xml	2	476	876	101	48	53	0.6188233932543242	> p = 0.05	676.0	0.2626728110599078	0.4752475247524752
115	X4-1x402.xml	2	478	878	100	47	53	0.5485062355001471	> p = 0.05	678.0	0.26497695852534564	0.47
116	X4-1x402.xml	2	480	880	99	47	52	0.615302555690511	> p = 0.05	680.0	0.2672811059907834	0.47474747474747475
117	X4-1x402.xml	2	482	882	99	47	52	0.615302555690511	> p = 0.05	682.0	0.2695852534562212	0.47474747474747475
118	X4-1x402.xml	2	484	884	100	48	52	0.6891565167793516	> p = 0.05	684.0	0.271889400921659	0.48
119	X4-1x402.xml	2	486	886	99	47	52	0.615302555690511	> p = 0.05	686.0	0.27419354838709675	0.47474747474747475
120	X4-1x402.xml	2	488	888	99	47	52	0.615302555690511	> p = 0.05	688.0	0.2764976958525346	0.47474747474747475
121	X4-1x402.xml	2	490	890	99	47	52	0.615302555690511	> p = 0.05	690.0	0.27880184331797236	0.47474747474747475
122	X4-1x402.xml	2	492	892	99	47	52	0.615302555690511	> p = 0.05	692.0	0.28110599078341014	0.47474747474747475
123	X4-1x402.xml	2	494	894	100	47	53	0.5485062355001471	> p = 0.05	694.0	0.2834101382488479	0.47
124	X4-1x402.xml	2	496	896	101	47	54	0.4860994597361772	> p = 0.05	696.0	0.2857142857142857	0.46534653465346537
125	X4-1x402.xml	2	498	898	101	47	54	0.4860994597361772	> p = 0.05	698.0	0.2880184331797235	0.46534653465346537
126	X4-1x402.xml	2	500	900	101	47	54	0.4860994597361772	> p = 0.05	700.0	0.2903225806451613	0.46534653465346537
127	X4-1x402.xml	2	502	902	101	47	54	0.4860994597361772	> p = 0.05	702.0	0.2926267281105991	0.46534653465346537
128	X4-1x402.xml	2	504	904	101	47	54	0.4860994597361772	> p = 0.05	704.0	0.29493087557603687	0.46534653465346537
